"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "Markdown", "HTML", "comment", "blank", "total"
"d:\Web Development\Projects\hello-food\client-side\src\pages\Register.jsx", "JavaScript JSX", 0, 0, -210, 0, 0, -1, -7, -218
"d:\Web Development\Projects\hello-food\client-side\src\pages\SearchResult.jsx", "JavaScript JSX", 0, 0, -149, 0, 0, -10, -13, -172
"d:\Web Development\Projects\hello-food\client-side\src\redux\features\auth\authSlice.js", "JavaScript", -90, 0, 0, 0, 0, -5, -10, -105
"d:\Web Development\Projects\hello-food\client-side\src\redux\features\auth\userSlice.js", "JavaScript", -63, 0, 0, 0, 0, -4, -7, -74
"d:\Web Development\Projects\hello-food\client-side\src\redux\features\cart\cartSlice.js", "JavaScript", -92, 0, 0, 0, 0, 0, -5, -97
"d:\Web Development\Projects\hello-food\client-side\src\redux\features\category\categorySlice.js", "JavaScript", -141, 0, 0, 0, 0, -9, -16, -166
"d:\Web Development\Projects\hello-food\client-side\src\redux\features\product\productSlice.jsx", "JavaScript JSX", 0, 0, -139, 0, 0, -11, -9, -159
"d:\Web Development\Projects\hello-food\client-side\src\redux\features\slider\sliderSlice.js", "JavaScript", -113, 0, 0, 0, 0, -6, -11, -130
"d:\Web Development\Projects\hello-food\client-side\src\redux\store.js", "JavaScript", -16, 0, 0, 0, 0, -30, -10, -56
"d:\Web Development\Projects\hello-food\client-side\src\requestMethod.js", "JavaScript", -6, 0, 0, 0, 0, 0, -3, -9
"d:\Web Development\Projects\hello-food\client-side\src\responsive.js", "JavaScript", -22, 0, 0, 0, 0, 0, -3, -25
"d:\Web Development\Projects\hello-food\server-side\controllers\auth.js", "JavaScript", 60, 0, 0, 0, 0, 1, 14, 75
"d:\Web Development\Projects\hello-food\server-side\controllers\cart.js", "JavaScript", 38, 0, 0, 0, 0, 0, 13, 51
"d:\Web Development\Projects\hello-food\server-side\controllers\category.js", "JavaScript", 173, 0, 0, 0, 0, 10, 39, 222
"d:\Web Development\Projects\hello-food\server-side\controllers\product.js", "JavaScript", 241, 0, 0, 0, 0, 13, 42, 296
"d:\Web Development\Projects\hello-food\server-side\controllers\slider.js", "JavaScript", 157, 0, 0, 0, 0, 9, 36, 202
"d:\Web Development\Projects\hello-food\server-side\controllers\tokenValidation.js", "JavaScript", 19, 0, 0, 0, 0, 0, 4, 23
"d:\Web Development\Projects\hello-food\server-side\controllers\user.js", "JavaScript", 42, 0, 0, 0, 0, 0, 20, 62
"d:\Web Development\Projects\hello-food\server-side\error.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"d:\Web Development\Projects\hello-food\server-side\middleware\verifyToken.js", "JavaScript", 14, 0, 0, 0, 0, 0, 4, 18
"d:\Web Development\Projects\hello-food\server-side\middleware\verifyTokenAdmin.js", "JavaScript", 15, 0, 0, 0, 0, 0, 4, 19
"d:\Web Development\Projects\hello-food\server-side\models\Cart.js", "JavaScript", 15, 0, 0, 0, 0, 0, 4, 19
"d:\Web Development\Projects\hello-food\server-side\models\Categories.js", "JavaScript", 15, 0, 0, 0, 0, 0, 5, 20
"d:\Web Development\Projects\hello-food\server-side\models\Categories1.js", "JavaScript", 15, 0, 0, 0, 0, 0, 5, 20
"d:\Web Development\Projects\hello-food\server-side\models\Category.js", "JavaScript", 27, 0, 0, 0, 0, 0, 4, 31
"d:\Web Development\Projects\hello-food\server-side\models\Order.js", "JavaScript", 27, 0, 0, 0, 0, 0, 5, 32
"d:\Web Development\Projects\hello-food\server-side\models\Product.js", "JavaScript", 47, 0, 0, 0, 0, 0, 3, 50
"d:\Web Development\Projects\hello-food\server-side\models\Slider.js", "JavaScript", 21, 0, 0, 0, 0, 0, 4, 25
"d:\Web Development\Projects\hello-food\server-side\models\User.js", "JavaScript", 44, 0, 0, 0, 0, 0, 5, 49
"d:\Web Development\Projects\hello-food\server-side\package-lock.json", "JSON", 0, 6817, 0, 0, 0, 0, 1, 6818
"d:\Web Development\Projects\hello-food\server-side\package.json", "JSON", 0, 28, 0, 0, 0, 0, 1, 29
"d:\Web Development\Projects\hello-food\server-side\routes\auth.js", "JavaScript", 6, 0, 0, 0, 0, 3, 6, 15
"d:\Web Development\Projects\hello-food\server-side\routes\authRoute.js", "JavaScript", 7, 0, 0, 0, 0, 4, 7, 18
"d:\Web Development\Projects\hello-food\server-side\routes\cartRoute.js", "JavaScript", 7, 0, 0, 0, 0, 0, 7, 14
"d:\Web Development\Projects\hello-food\server-side\routes\categoryRoute.js", "JavaScript", 17, 0, 0, 0, 0, 0, 8, 25
"d:\Web Development\Projects\hello-food\server-side\routes\order.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Web Development\Projects\hello-food\server-side\routes\product.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Web Development\Projects\hello-food\server-side\routes\productRoute.js", "JavaScript", 11, 0, 0, 0, 0, 5, 9, 25
"d:\Web Development\Projects\hello-food\server-side\routes\sliderRoute.js", "JavaScript", 10, 0, 0, 0, 0, 5, 10, 25
"d:\Web Development\Projects\hello-food\server-side\routes\userRoute.js", "JavaScript", 8, 0, 0, 0, 0, 3, 6, 17
"d:\Web Development\Projects\hello-food\server-side\routes\users.js", "JavaScript", 4, 0, 0, 0, 0, 0, 4, 8
"d:\Web Development\Projects\hello-food\server-side\server.js", "JavaScript", 59, 0, 0, 0, 0, 0, 14, 73
"d:\Web Development\Projects\hello-food\server-side\utils\fileUpload.js", "JavaScript", 33, 0, 0, 0, 0, 3, 10, 46
"Total", "-", 217, -28494, -11471, -38, -33, -188, -188, -40195
